RSF,QuoteDiff,RFPDiff,ATPDiff,Result,Product_ID,Quote,Customer_ID
3,26500,0,-3,1,LS2100,88500,C3
3,4100,0,0,0,LS3410,94500,C3
3,-2660,7,-11,0,LS3410,94500,C3
3,0,0,0,1,LS3410,94500,C3
3,4100,0,9,1,LS3410,94500,C3
3,-2300,0,3,1,LS7620,112300,C3
3,-2660,0,-11,0,LS3410,94500,C3
3,0,-20,-5,0,HS2323,108500,C3
3,-1000,0,4,1,HS2200,106000,C3
3,0,0,8,0,LS3410,94500,C3
3,8500,4,8,1,HS2323,108500,C3
3,8500,0,8,1,HS2323,108500,C3
3,0,0,-11,0,HS2323,108500,C3
3,-1000,0,4,1,HS2200,106000,C3
3,-2300,0,3,0,LS7620,112300,C3
3,-1000,0,4,1,HS2200,106000,C3
3,-1000,0,4,1,HS2200,106000,C3
3,-2300,0,33,1,LS7620,112300,C3
3,-2300,0,33,1,LS7620,112300,C3
4,-9700,10,75,0,HS4320,118200,C4
4,-9700,-10,75,0,HS4320,118200,C4
4,3500,4,15,0,HS2323,108500,C4
4,3500,20,15,0,HS2323,108500,C4
4,-16660,0,75,0,HS2323,108500,C4
4,-15500,0,45,0,HS2323,108500,C4
4,-15500,0,45,0,HS2323,108500,C4
4,-16660,0,75,1,HS2323,108500,C4
4,13500,-14,19,0,LS2100,88500,C4
4,13500,0,19,0,LS2100,88500,C4
4,1100,-20,28,1,LS3410,94500,C4
4,-2100,4,38,0,LS3410,94500,C4
4,-16660,0,38,0,HS2323,108500,C4
4,0,4,-3,1,LS3410,94500,C4
4,6500,0,-16,0,HS2323,108500,C4
4,1100,0,28,1,LS3410,94500,C4
4,-2100,0,38,0,LS3410,94500,C4
4,-16660,0,38,0,HS2323,108500,C4
4,6500,0,-16,0,HS2323,108500,C4
4,0,0,-3,1,LS3410,94500,C4
4,3500,0,3,1,HS2323,108500,C4
4,-2300,0,4,1,LS7620,112300,C4
4,-4000,3,-96,0,HS2200,106000,C4
4,-4000,0,-96,0,HS2200,106000,C4
4,-3500,0,-37,0,HS2323,108500,C4
4,-7300,3,18,0,LS7620,112300,C4
4,-300,5,28,1,LS7620,112300,C4
4,-2300,0,4,1,LS7620,112300,C4
4,1500,0,3,1,HS2323,108500,C4
4,1500,0,3,1,HS2323,108500,C4
4,-3500,0,-37,0,HS2323,108500,C4
4,3500,0,3,1,HS2323,108500,C4
4,-7300,0,18,0,LS7620,112300,C4
4,-300,0,28,1,LS7620,112300,C4
4,3500,-20,15,1,HS2323,108500,C5
4,-15500,-10,15,0,HS2323,108500,C5
4,3500,10,15,1,HS2323,108500,C5
4,-15500,0,15,0,HS2323,108500,C5
4,-16660,-20,6,0,HS2323,108500,C5
4,-16660,20,15,0,HS2323,108500,C5
4,13500,3,13,1,LS2100,88500,C5
4,13500,0,13,1,LS2100,88500,C5
4,1100,0,-5,1,LS3410,94500,C5
4,-2100,0,9,0,LS3410,94500,C5
4,-16660,3,-2,0,HS2323,108500,C5
4,6500,3,10,1,HS2323,108500,C5
4,1100,0,8,1,LS3410,94500,C5
4,-2100,0,9,0,LS3410,94500,C5
4,0,-10,38,1,LS3410,94500,C5
4,-16660,0,-2,0,HS2323,108500,C5
4,6500,0,28,1,HS2323,108500,C5
4,0,0,38,1,LS3410,94500,C5
4,-4000,0,2,1,HS2200,106000,C5
4,-2300,-20,2,1,LS7620,112300,C5
4,-9700,8,3,1,HS4320,118200,C5
4,1500,2,-7,1,HS2323,108500,C5
4,-4000,0,2,1,HS2200,106000,C5
4,-3500,0,4,1,HS2323,108500,C5
4,-2300,0,2,1,LS7620,112300,C5
4,-7300,0,-37,0,LS7620,112300,C5
4,-300,0,3,1,LS7620,112300,C5
4,1500,0,-7,1,HS2323,108500,C5
4,-3500,0,4,1,HS2323,108500,C5
4,3500,0,4,1,HS2323,108500,C5
4,3500,0,4,1,HS2323,108500,C5
4,-9700,-8,3,0,HS4320,118200,C5
4,-7300,0,-37,0,LS7620,112300,C5
4,-300,0,3,1,LS7620,112300,C5
1,-15500,3,3,0,HS2323,108500,C6
1,-15500,0,15,0,HS2323,108500,C6
1,9000,2,15,1,HS2200,106000,C6
1,9000,0,15,1,HS2200,106000,C6
1,17000,0,1,1,HS2200,98000,C6
1,17000,0,46,1,HS2200,98000,C6
1,-7300,-4,9,0,LS7620,112300,C6
1,-3500,4,4,0,HS2323,108500,C6
1,-7300,4,9,1,LS7620,112300,C6
1,24500,3,2,1,LS2100,88500,C6
1,-3500,0,4,0,HS2323,108500,C6
1,-1500,0,33,0,LS3410,94500,C6
1,24500,0,2,1,LS2100,88500,C6
1,18500,4,27,1,LS3410,94500,C6
1,18500,0,27,1,LS3410,94500,C6
1,-1500,0,33,0,LS3410,94500,C6
2,-33200,0,-5,0,HS4320,118200,C7
2,-33200,0,-5,0,HS4320,118200,C7
2,-19900,0,2,0,HS2323,108500,C7
2,-19900,0,-5,0,HS2323,108500,C7
2,-2500,-10,7,0,LS3410,94500,C7
2,8500,0,38,1,HS2323,108500,C7
2,-2500,0,7,0,LS3410,94500,C7
2,8500,0,38,1,HS2323,108500,C7
2,-1000,2,5,1,HS2200,106000,C7
2,-1000,-20,2,0,HS2200,106000,C7
2,-9900,0,0,0,HS2323,108500,C7
2,-1000,5,2,1,HS2200,106000,C7
2,-3500,0,27,1,HS2323,108500,C7
2,-1000,0,2,1,HS2200,106000,C7
2,-1000,0,5,1,HS2200,106000,C7
2,-9900,0,32,0,HS2323,108500,C7
2,-1000,0,2,1,HS2200,106000,C7
2,-3500,0,27,1,HS2323,108500,C7
2,-3500,0,27,1,HS2323,108500,C7
2,-3500,0,27,1,HS2323,108500,C7
1,18500,0,20,1,LS3410,94500,C8
1,24500,0,-17,1,LS2100,88500,C8
1,24500,0,-17,1,LS2100,88500,C8
1,18500,0,75,1,LS3410,94500,C8
1,-1500,-20,13,0,LS3410,94500,C8
1,-1500,0,13,0,LS3410,94500,C8
1,-15500,0,46,0,HS2323,108500,C8
1,-15500,0,46,0,HS2323,108500,C8
1,9000,0,-10,0,HS2200,106000,C8
1,9000,0,4,1,HS2200,106000,C8
1,9000,0,4,1,HS2200,106000,C8
1,9000,0,4,1,HS2200,106000,C8
1,-3500,1,3,0,HS2323,108500,C8
1,-7300,1,63,0,LS7620,112300,C8
1,-7300,-1,63,0,LS7620,112300,C8
1,-3500,-1,3,0,HS2323,108500,C8
4,-6200,5,-17,0,HS4320,118200,C9
4,-16660,0,15,0,HS2323,108500,C9
4,-6200,0,-17,0,HS4320,118200,C9
4,-16660,0,15,0,HS2323,108500,C9
4,-500,2,15,1,HS2323,108500,C9
4,-500,0,15,1,HS2323,108500,C9
4,-10200,3,105,0,HS4320,118200,C9
4,-10200,0,105,0,HS4320,118200,C9
4,-1500,0,75,1,LS3410,94500,C9
4,4500,3,0,0,LS2100,88500,C9
4,-10200,2,15,0,HS4320,118200,C9
4,-1500,0,75,1,LS3410,94500,C9
4,4500,0,-5,1,LS2100,88500,C9
4,13900,0,-2,1,LS2100,88500,C9
4,-15500,0,3,0,HS2323,108500,C9
4,15000,-14,-5,0,LS2100,88500,C9
4,-10200,-2,15,0,HS4320,118200,C9
4,13900,0,15,1,LS2100,88500,C9
4,8500,0,9,1,HS2323,108500,C9
4,13900,0,-2,1,LS2100,88500,C9
4,-15500,0,14,0,HS2323,108500,C9
4,15000,0,-5,1,LS2100,88500,C9
4,13900,0,15,1,LS2100,88500,C9
4,8500,0,9,1,HS2323,108500,C9
4,7500,-4,-6,0,LS3410,94500,C9
4,-6500,2,9,0,HS2323,108500,C9
4,7500,0,9,1,LS3410,94500,C9
4,-3500,0,6,1,HS2323,108500,C9
4,2000,0,14,1,HS2200,106000,C9
4,-14160,0,6,1,HS2200,106000,C9
4,-6500,0,9,0,HS2323,108500,C9
4,-3500,0,6,1,HS2323,108500,C9
4,2000,0,14,1,HS2200,106000,C9
4,-14160,0,6,0,HS2200,106000,C9
4,3500,13,3,1,HS2323,108500,C9
4,6000,13,3,1,HS2200,106000,C9
4,6000,-13,3,1,HS2200,106000,C9
4,3500,-13,3,1,HS2323,108500,C9
2,-1000,0,7,1,HS2200,106000,C10
2,-1000,0,0,0,HS2200,106000,C10
2,-1000,0,7,1,HS2200,106000,C10
2,-1000,0,38,0,HS2200,106000,C10
2,-9900,-4,3,0,HS2323,108500,C10
2,-3500,4,5,0,HS2323,108500,C10
2,-3500,0,32,0,HS2323,108500,C10
2,8500,0,28,1,HS2323,108500,C10
2,-9900,4,3,0,HS2323,108500,C10
2,-1000,3,2,0,HS2200,106000,C10
2,-1000,0,2,0,HS2200,106000,C10
2,-3500,0,5,0,HS2323,108500,C10
2,-3500,0,32,0,HS2323,108500,C10
2,-33200,0,2,0,HS4320,118200,C10
2,-19900,2,-7,0,HS2323,108500,C10
2,-2500,0,18,1,LS3410,94500,C10
2,-33200,0,2,0,HS4320,118200,C10
2,-19900,-8,-7,0,HS2323,108500,C10
2,-2500,0,18,1,LS3410,94500,C10
2,8500,0,28,1,HS2323,108500,C10
3,-10500,7,-11,0,HS2323,108500,C1
3,2000,2,-3,1,LS3410,94500,C1
3,2000,0,-3,1,LS3410,94500,C1
3,-10500,-7,-11,1,HS2323,108500,C1
3,-10500,4,-3,0,HS2323,108500,C1
3,-10500,0,-3,0,HS2323,108500,C1
3,7000,0,4,1,HS2200,106000,C1
3,9000,0,0,1,HS2200,106000,C1
3,-4000,-30,5,0,HS2200,106000,C1
3,9000,0,4,1,HS2200,106000,C1
3,-4000,30,5,0,HS2200,106000,C1
3,7000,0,4,1,HS2200,106000,C1
3,-500,3,27,0,HS2323,108500,C1
3,3500,-14,-3,1,HS2323,108500,C1
3,-500,-7,27,1,HS2323,108500,C1
3,3500,5,-3,1,HS2323,108500,C1
3,2000,-10,33,1,HS2200,106000,C1
3,2000,0,33,1,HS2200,106000,C1
4,-3100,0,15,1,LS2100,88500,C2
4,-3100,0,15,1,LS2100,88500,C2
4,-6000,0,23,1,HS2323,108500,C2
4,-6000,0,75,1,HS2323,108500,C2
4,13100,0,-5,1,LS3410,94500,C2
4,2000,0,0,1,LS3410,94500,C2
4,2000,4,14,0,LS3410,94500,C2
4,2000,0,14,0,LS3410,94500,C2
4,13100,0,-5,1,LS3410,94500,C2
4,-21140,2,16,0,HS2323,108500,C2
4,2000,0,15,1,LS3410,94500,C2
4,-21140,0,16,0,HS2323,108500,C2
4,6000,6,39,1,HS2200,106000,C2
4,6000,-6,39,1,HS2200,106000,C2
4,6000,0,9,1,HS2200,106000,C2
4,-10000,-10,6,0,HS2323,108500,C2
4,1500,5,-3,1,LS3410,94500,C2
4,6000,0,9,1,HS2200,106000,C2
4,1500,0,-3,1,LS3410,94500,C2
4,-10000,0,6,1,HS2323,108500,C2
4,-6200,0,-4,0,HS4320,118200,C2
4,-6200,0,-4,0,HS4320,118200,C2
3,2000,3,7,1,LS3410,94500,C3
3,2000,0,7,1,LS3410,94500,C3
3,-10500,0,8,1,HS2323,108500,C3
3,-10500,0,8,0,HS2323,108500,C3
3,-10500,0,8,1,HS2323,108500,C3
3,-10500,0,8,0,HS2323,108500,C3
3,9000,7,6,1,HS2200,106000,C3
3,7000,-20,6,0,HS2200,106000,C3
3,-4000,2,27,1,HS2200,106000,C3
3,9000,14,6,1,HS2200,106000,C3
3,7000,14,6,1,HS2200,106000,C3
3,-500,-4,3,0,HS2323,108500,C3
3,3500,-14,93,1,HS2323,108500,C3
3,-4000,-7,27,0,HS2200,106000,C3
3,2000,2,3,1,HS2200,106000,C3
3,-500,-8,3,0,HS2323,108500,C3
3,3500,-7,93,1,HS2323,108500,C3
3,2000,-8,3,1,HS2200,106000,C3
4,-16660,2,75,0,HS2323,108500,C4
4,-13700,2,11,0,HS4320,118200,C4
4,-16660,-10,75,0,HS2323,108500,C4
4,3500,0,75,1,HS2323,108500,C4
4,-19800,-10,-16,0,HS4320,118200,C4
4,-13700,20,15,0,HS4320,118200,C4
4,-9088,-20,15,1,HS4320,118200,C4
4,-19800,10,-16,0,HS4320,118200,C4
4,-9088,0,15,1,HS4320,118200,C4
4,3500,0,75,1,HS2323,108500,C4
4,-300,0,13,1,LS2100,88500,C4
4,-300,0,13,1,LS2100,88500,C4
4,-9088,10,4,1,HS4320,118200,C5
4,-9088,-10,75,1,HS4320,118200,C5
4,3500,4,-16,1,HS2323,108500,C5
4,3500,10,-16,1,HS2323,108500,C5
4,-300,0,-10,1,LS2100,88500,C5
4,-300,0,-17,1,LS2100,88500,C5
4,-13700,7,93,0,HS4320,118200,C5
4,-16660,-5,3,0,HS2323,108500,C5
4,-19800,8,3,0,HS4320,118200,C5
4,-16660,5,3,0,HS2323,108500,C5
4,-13700,-7,93,0,HS4320,118200,C5
4,-19800,-8,3,0,HS4320,118200,C5
1,-2500,0,2,0,LS3410,94500,C6
1,-2500,0,75,0,LS3410,94500,C6
1,-2500,0,-17,0,LS3410,94500,C6
1,-2500,0,75,0,LS3410,94500,C6
1,-24940,0,36,0,LS7620,112300,C6
1,-3500,7,4,0,HS2323,108500,C6
1,-24940,0,36,0,LS7620,112300,C6
1,-3500,0,4,0,HS2323,108500,C6
2,-2300,7,2,1,LS7620,112300,C7
2,-4000,-4,3,0,HS2200,106000,C7
2,-6160,0,6,0,HS2200,98000,C7
2,-2300,0,2,1,LS7620,112300,C7
2,-4000,4,3,1,HS2200,106000,C7
2,-4000,2,32,1,HS2200,106000,C7
2,-14160,0,6,0,HS2200,106000,C7
2,-4000,4,32,1,HS2200,106000,C7
2,-14160,3,-58,0,HS2200,106000,C7
2,-14160,0,-58,0,HS2200,106000,C7
2,1500,0,33,1,HS2323,108500,C7
2,1500,0,33,1,HS2323,108500,C7
1,-2500,-4,9,0,LS3410,94500,C8
1,-2500,4,9,0,LS3410,94500,C8
1,-2500,-4,9,0,LS3410,94500,C8
1,-2500,4,9,0,LS3410,94500,C8
1,-3500,-14,3,0,HS2323,108500,C8
1,-24940,0,4,0,LS7620,112300,C8
1,-24940,0,4,0,LS7620,112300,C8
1,-3500,0,3,0,HS2323,108500,C8
4,-6200,-20,-17,0,HS4320,118200,C9
4,-6200,0,-17,0,HS4320,118200,C9
4,-3100,0,75,1,LS2100,88500,C9
4,-3100,0,75,1,LS2100,88500,C9
4,-6000,2,15,1,HS2323,108500,C9
4,-6000,-2,15,0,HS2323,108500,C9
4,2000,6,39,1,LS3410,94500,C9
4,13100,2,9,1,LS3410,94500,C9
4,2000,-6,39,1,LS3410,94500,C9
4,-21140,6,2,0,HS2323,108500,C9
4,6000,0,66,1,HS2200,106000,C9
4,13100,0,9,1,LS3410,94500,C9
4,2000,0,9,1,LS3410,94500,C9
4,2000,0,9,1,LS3410,94500,C9
4,-21140,-6,39,0,HS2323,108500,C9
4,6000,0,66,1,HS2200,106000,C9
4,1500,15,5,1,LS3410,94500,C9
4,-10000,15,14,0,HS2323,108500,C9
4,6000,0,1,1,HS2200,106000,C9
4,14000,0,1,1,HS2200,98000,C9
4,1500,-15,5,1,LS3410,94500,C9
4,-10000,-15,14,0,HS2323,108500,C9
2,-4000,0,-5,0,HS2200,106000,C10
2,-4000,0,-5,0,HS2200,106000,C10
2,-14160,4,-5,0,HS2200,106000,C10
2,-14160,0,-5,0,HS2200,106000,C10
2,1500,-4,0,1,HS2323,108500,C10
2,-4000,0,-1,1,HS2200,106000,C10
2,-14160,0,0,0,HS2200,106000,C10
2,-4000,0,2,1,HS2200,106000,C10
2,-2300,-14,-7,0,LS7620,112300,C10
2,-6160,0,6,0,HS2200,98000,C10
2,1500,4,32,1,HS2323,108500,C10
2,-2300,0,-7,0,LS7620,112300,C10
